1,0.7598,-1
2,0.7598,-0.22794
3,0.7598,-0.22794
4,0.7598,-0.22794
5,0.7597,-0.22771
6,0.7593,-0.22699
7,0.7585,-0.22595
8,0.7579,-0.22617
9,0.7571,-0.22553
10,0.7559,-0.22437
11,0.7548,-0.22424
12,0.7536,-0.22368
13,0.7517,-0.22171
14,0.7501,-0.22183
15,0.7483,-0.22089
16,0.7456,-0.21828
17,0.7433,-0.21839
18,0.7407,-0.21701
19,0.7368,-0.21324
20,0.7336,-0.21368
21,0.7299,-0.21157
22,0.7244,-0.20632
23,0.7181,-0.20283
24,0.711,-0.1991
25,0.7029,-0.19467
26,0.6939,-0.19017
27,0.6837,-0.18471
28,0.6694,-0.17222
29,0.6567,-0.17161
30,0.643,-0.1655
31,0.628,-0.1584
32,0.6118,-0.15114
33,0.5942,-0.14306
34,0.5705,-0.12375
35,0.5499,-0.12377
36,0.5284,-0.11552
37,0.5055,-0.10585
38,0.4813,-0.09599
39,0.456,-0.0862
40,0.4278,-0.07194
41,0.4157,-0.10051
42,0.3901,-0.06583
43,0.3658,-0.06114
44,0.3455,-0.06305
45,0.3277,-0.06271
46,0.3058,-0.04794
47,0.2872,-0.04896
48,0.268,-0.042
49,0.2481,-0.03463
50,0.2276,-0.02728
51,0.2067,-0.02021
52,0.1801,-0.00083
53,0.1586,-0.00458
54,0.1377,0.00049
55,0.117,0.0063
56,0.0964,0.01228
57,0.0763,0.01731
58,0.0519,0.03323
59,0.0332,0.02744
60,0.016,0.0296
61,-0.0001,0.03223
62,-0.0152,0.03476
63,-0.0291,0.03653
64,-0.0386,0.03058
65,-0.0473,0.03159
66,-0.0579,0.03857
67,-0.0671,0.03853
68,-0.0729,0.03347
69,-0.0791,0.03613
70,-0.0838,0.03454
71,-0.0862,0.03066
72,-0.0877,0.02931
73,-0.0883,0.02769
74,-0.0873,0.02419
75,-0.0847,0.02021
76,-0.0818,0.01874
77,-0.0767,0.01281
78,-0.0703,0.00829
79,-0.0628,0.00384
80,-0.0543,-0.00071
81,-0.045,-0.0051
82,-0.035,-0.0095
83,-0.0246,-0.01342
84,-0.0139,-0.01723
85,-0.003,-0.0209
86,0.0078,-0.02394
87,0.0185,-0.02695
88,0.0313,-0.03499
