1,0.7598,-0.49387,
2,0.7598,-0.11397,
3,0.7598,-0.11397,
4,0.7598,-0.11397,
5,0.7598,-0.11397,
6,0.7596,-0.11384,
7,0.7593,-0.113745,
8,0.759,-0.1137,
9,0.7586,-0.11359,
10,0.7577,-0.113205,
11,0.757,-0.1132,
12,0.7558,-0.11277,
13,0.7542,-0.11233,
14,0.7526,-0.11209,
15,0.7508,-0.11172,
16,0.7476,-0.11054,
17,0.7457,-0.110905,
18,0.7422,-0.10958,
19,0.7379,-0.108535,
20,0.735,-0.1088,
21,0.7295,-0.106675,
22,0.7243,-0.106045,
23,0.7171,-0.103965,
24,0.7106,-0.10334,
25,0.7052,-0.10308,
26,0.6934,-0.09811,
27,0.6845,-0.098225,
28,0.6748,-0.09637,
29,0.6588,-0.09082,
30,0.65,-0.0931,
31,0.6344,-0.08736,
32,0.6207,-0.086255,
33,0.6099,-0.086085,
34,0.5946,-0.08154,
35,0.5782,-0.07853,
36,0.5635,-0.077175,
37,0.5547,-0.078805,
38,0.5443,-0.076445,
39,0.5267,-0.070205,
40,0.5143,-0.070945,
41,0.5062,-0.07188,
42,0.5003,-0.072095,
43,0.4918,-0.06952,
44,0.4822,-0.06753,
45,0.4744,-0.06726,
46,0.4572,-0.05998,
47,0.4376,-0.05584,
48,0.4234,-0.05641,
49,0.416,-0.0587,
50,0.3965,-0.049725,
51,0.3752,-0.04563,
52,0.3525,-0.041525,
53,0.3383,-0.043645,
54,0.3238,-0.04132,
55,0.3037,-0.035505,
56,0.2775,-0.028525,
57,0.2557,-0.027455,
58,0.2338,-0.02412,
59,0.2056,-0.01674,
60,0.1883,-0.019595,
61,0.1653,-0.013295,
62,0.1481,-0.013615,
63,0.1306,-0.01084,
64,0.0899,0.006865,
65,0.0723,-0.002045,
66,0.0609,-0.003435,
67,0.0385,0.005425,
68,0.0163,0.008655,
69,-0.0052,0.01153,
70,-0.0259,0.014235,
71,-0.0406,0.01344,
72,-0.0594,0.01831,
73,-0.0728,0.01762,
74,-0.0895,0.021775,
75,-0.101,0.0209,
76,-0.115,0.02425,
77,-0.1246,0.02349,
78,-0.1331,0.024215,
79,-0.1451,0.027765,
80,-0.1527,0.026705,
81,-0.157,0.0257,
82,-0.1616,0.02654,
83,-0.163,0.02515,
84,-0.1625,0.024125,
85,-0.1601,0.022815,
86,-0.157,0.022,
87,-0.1443,0.015295,
88,-0.1303,0.012545,
89,-0.0944,-0.00379,
90,-0.0433,-0.019055,
91,0.0013,-0.022495,
92,0.0572,-0.03653,
93,0.1017,-0.037505,
94,0.1561,-0.050615,
95,0.1984,-0.05091,
96,0.2189,-0.043085,
97,0.2585,-0.058575,
98,0.3059,-0.069585,
99,0.3415,-0.069025,
100,0.3662,-0.06728,
101,0.396,-0.0743,
102,0.4226,-0.07669,
103,0.4508,-0.08172,
104,0.4728,-0.08192,
105,0.4879,-0.080735,
106,0.4948,-0.07767,
107,0.497,-0.07565,
108,0.496,-0.0739,
109,0.4906,-0.07089,
110,0.4809,-0.067285,
111,0.4708,-0.06557,
112,0.454,-0.0597,
113,0.415,-0.04275,
114,0.3947,-0.049055,
115,0.3731,-0.045165,
116,0.3337,-0.030355,
117,0.2992,-0.02763,
118,0.263,-0.02135,
119,0.2361,-0.021965,
120,0.2102,-0.01858,
