1,0.7598,-1
2,0.7598,-0.22794
3,0.7598,-0.22794
4,0.7598,-0.22794
5,0.7597,-0.22766
6,0.7593,-0.22679
7,0.7589,-0.22667
8,0.7583,-0.22599
9,0.757,-0.22385
10,0.756,-0.2243
11,0.7546,-0.22288
12,0.7528,-0.22134
13,0.7512,-0.22136
14,0.7494,-0.22032
15,0.7467,-0.21726
16,0.7444,-0.21757
17,0.7419,-0.21632
18,0.7381,-0.21193
19,0.7349,-0.21247
20,0.7315,-0.21095
21,0.7262,-0.20461
22,0.7184,-0.19602
23,0.7131,-0.20068
24,0.7055,-0.19265
25,0.6967,-0.18701
26,0.6869,-0.18157
27,0.6733,-0.16799
28,0.6611,-0.16783
29,0.648,-0.16165
30,0.6337,-0.15436
31,0.6181,-0.14643
32,0.6014,-0.13867
33,0.5787,-0.11686
34,0.559,-0.11845
35,0.5386,-0.11058
36,0.5169,-0.10082
37,0.4939,-0.09067
38,0.4698,-0.08069
39,0.4416,-0.06198
40,0.4275,-0.093
41,0.4083,-0.07449
42,0.3845,-0.05585
43,0.3649,-0.06047
44,0.3481,-0.06243
45,0.3282,-0.04871
46,0.3113,-0.05114
47,0.2939,-0.04467
48,0.2757,-0.03721
49,0.2568,-0.02979
50,0.2374,-0.02272
51,0.2128,-0.00234
52,0.1929,-0.00812
53,0.1735,-0.00355
54,0.1543,0.00171
55,0.1351,0.00747
56,0.1163,0.01211
57,0.0933,0.02951
58,0.0757,0.02129
59,0.0593,0.02321
60,0.0441,0.02477
61,0.0297,0.02709
62,0.0159,0.02973
63,0.0062,0.02239
64,-0.0026,0.02278
65,-0.0135,0.0313
66,-0.0235,0.03205
67,-0.032,0.03085
68,-0.0388,0.02864
69,-0.044,0.0262
70,-0.0478,0.02384
71,-0.0498,0.01994
72,-0.051,0.0183
73,-0.0516,0.01698
74,-0.0512,0.01436
75,-0.0495,0.0106
76,-0.0467,0.00701
77,-0.0428,0.00309
78,-0.0379,-0.00088
79,-0.0324,-0.00403
80,-0.0278,-0.00316
81,-0.0214,-0.00958
82,-0.0162,-0.00814
83,-0.009,-0.0153
84,-0.0014,-0.01858
85,0.0063,-0.02114
86,0.0138,-0.02289
87,0.0212,-0.02486
88,0.0282,-0.02596
